lambda,mu,rho,avg_wait,avg_queue_len,throughput
0.1,1.0,0.1,0.11528585150201019,0.01185141291063294,0.09977777777777778
0.19444444444444445,1.0,0.19444444444444445,0.2528978054144608,0.04977593422465835,0.199
0.28888888888888886,1.0,0.28888888888888886,0.4123722761792519,0.11740305914595756,0.2845185185185185
0.3833333333333333,1.0,0.3833333333333333,0.6337392797487068,0.24280582200659234,0.38422222222222224
0.47777777777777775,1.0,0.47777777777777775,0.8718882811040698,0.4139105959038554,0.4745185185185185
0.5722222222222222,1.0,0.5722222222222222,1.3575244224463563,0.7731935854227622,0.5693703703703704
0.6666666666666666,1.0,0.6666666666666666,2.14488340290369,1.43831709936669,0.6698518518518518
0.7611111111111111,1.0,0.7611111111111111,3.3350218799041476,2.5590163327284174,0.767962962962963
0.8555555555555555,1.0,0.8555555555555555,5.4798062267938175,4.6005333135809785,0.8388148148148148
0.95,1.0,0.95,18.08799821514503,17.26102736935669,0.9538148148148148
