lambda,mu,rho,wait_mean,wait_ci95,q_mean,q_ci95,seeds
0.1,1.0,0.1,0.1089653046416302,0.006195950394011102,0.01095700159253361,0.0006678618958103484,20
0.17727272727272728,1.0,0.17727272727272728,0.21588768099647757,0.008112077816609295,0.03859671864005037,0.0015383442743441493,20
0.2545454545454545,1.0,0.2545454545454545,0.34173651034892294,0.009342870752896873,0.08720788118958557,0.0026523801809696427,20
0.3318181818181818,1.0,0.3318181818181818,0.4980105450714831,0.012469300439305702,0.16557534906114588,0.004814776044628758,20
0.40909090909090906,1.0,0.40909090909090906,0.7016197193914077,0.013948677106075355,0.2872726936039406,0.0065090292953903514,20
0.48636363636363633,1.0,0.48636363636363633,0.9483130335709754,0.019026674134324996,0.4611736602348061,0.010870032489626235,20
0.5636363636363636,1.0,0.5636363636363636,1.3011708793629215,0.026375113569684805,0.7342839154105404,0.01602690673619329,20
0.6409090909090909,1.0,0.6409090909090909,1.7635634638893432,0.03309923445107948,1.130758120069627,0.023202308107344416,20
0.7181818181818181,1.0,0.7181818181818181,2.52248974622144,0.07026646831074025,1.8114329098922262,0.05285665300078894,20
0.7954545454545454,1.0,0.7954545454545454,3.853130855920287,0.10848251107470873,3.0612088441168845,0.09250125645240866,20
0.8727272727272727,1.0,0.8727272727272727,6.971214847950081,0.4099164588019674,6.094327987852302,0.36923972347585093,20
0.95,1.0,0.95,19.591376829863442,2.3759918422444914,18.613462464353173,2.2990633588567633,20
